Donor,codename
Geneva InterNational Centre for Humanitarian Demining,NGOs
Geohazards InterNational,NGOs
German Doctors e.V.,NGOs
German Doctors for Developing Countries,NGOs
"German medical aid organisation ""action medeor""",NGOs
German Toilet Organization e.V.,NGOs
Gifts in kind InterNational,NGOs
Glencree Centre for Peace and Reconciliation,NGOs
Global Aid Hand,NGOs
Global Aid Network,NGOs
Global Communities,NGOs
Global Family,NGOs
Global Giving,NGOs
Global H20,NGOs
Global Human Rights Defence,NGOs
Global Network for Disaster Reduction,NGOs
Global One 2015,NGOs
Global Resource Services,NGOs
Global Rights,NGOs
GOAL/IRC,NGOs
Golweyne Relief and Rehabilitation,NGOs
GORTA,NGOs
Greek Committee For InterNational Democratic Solidarity,NGOs
Green Cross,NGOs
GRET,NGOs
"Groupe antiraciste d’accompagnement, et de defense des étrangers et migrants",NGOs
Groupe de Recherche et de Réalisations pour le Développement Rural,NGOs
Groupe de Secours Catastrophes Francais,NGOs
Groupe unifié pour l'épanouissement des enfants et pour le développement d'Haiti,NGOs
GRSP - Ghazni Rural Support Program - Afghanistan,NGOs
Grünhelme,NGOs
Gruppo per le Relazioni Transculturali,NGOs
Guilde du Raid,NGOs
Gynécologie sans frontières,NGOs
Habitat for Humanity InterNational,NGOs
Hadia Medical,NGOs
Halo Partnership,NGOs
HALO Trust,NGOs
Halte Aux Mines Antipersonnel ,NGOs
Hammer Forum e.V,NGOs
HAMOKED/CNTR DEF.OF INDIVIDUAL,NGOs
Handicap Atlas Logistique,NGOs
Handicap InterNational,NGOs
Handicap InterNational Belgium,NGOs
Handicap InterNational France,NGOs
Handicap International Luxembourg,NGOs
Handicap International USA,NGOs
Handicap InterNational/France,NGOs
Hands Together,NGOs
Harikar,NGOs
Hashemite Charity Organization of Jordan,NGOs
Haukari e.V,NGOs
Haut Comité de Secours libanais,NGOs
Hayat Foundation,NGOs
HCC-Humanitäre Nothilfeprogramme weltweit,NGOs
Health Alliance InterNational,NGOs
Health And Nutrition Development Society,NGOs
Health Equity Initiatives Sdn Bhd,NGOs
Health Link South Sudan,NGOs
Health Poverty Action,NGOs
HEALTH UNLIMITED,NGOs
"Health, Development, Information and Policy Institute",NGOs
Healthnet InterNational - Malaria Leishmaniasis Control Programme,NGOs
HealthNet InterNational Transcultural Psychosocial Organisation,NGOs
Heart Doctors,NGOs
Heartland Alliance for Human Needs & Human Rights,NGOs
Heart-to-Heart,NGOs
Heifer International,NGOs
Helen Keller InterNational,NGOs
Helfende Hände e.V.,NGOs
Hellef fir Rosario,NGOs
Hellenic Rescue Team,NGOs
HELP,NGOs
Help - Hilfe zur Selbsthilfe e.V.,NGOs
HELP e.V.,NGOs
Help for school,NGOs
Help the Aged,NGOs
HelpAge InterNational,NGOs
HelpAge International UK,NGOs
Helpage Programme - RD Congo,NGOs
HELVETAS,NGOs
Heshima Kenya,NGOs
Hidig Relief And Development Organization,NGOs
Hilfe fur Kinder in Not e.V,NGOs
Hilfe zur Selbsthilfe e.V.,NGOs
Hilfsgemeinschaft Lippe e.V,NGOs
Hilfswerk Austria InterNational,NGOs
Hilfswerk Liechtenstein,NGOs
Himalayan Human Rights Monitors,NGOs
Himilo Organization for Development,NGOs
Himilo Relief and Development Association,NGOs
Hiran Women Action on Advocay for peace & Human Rights,NGOs
Hoffnungszeichen - Sign of Hope e.V,NGOs
Hogar de Cristo Santiago,NGOs
Holistic Management,NGOs
Home for Human Rights,NGOs
Honduras Comité Permanente de Contingencias,NGOs
HOPE,NGOs
Hope for the Horn,NGOs
Hope in Action,NGOs
Hope Worldwide,NGOs
HOPE’87 – Hundreds of Original Projects for Employment,NGOs
HOPE'87,NGOs
Hôpital de la Charité d'Oulan-Bator,NGOs
Hopital sans Frontières,NGOs
Horizont 3000,NGOs
Horizonte Logico,NGOs
Horn of Africa Organization for Protection of Environment and Improvement of Livelihoods,NGOs
Horn Relief,NGOs
Horn-Aid Kenya,NGOs
Hospital Hermanos Ameijeiras,NGOs
Hujra Village Support Organization,NGOs
Human Appeal InterNational,NGOs
Human Help Network e.V.,NGOs
Human Moral Care,NGOs
Human Resources Development Agency,NGOs
Human Right Center in Iraq,NGOs
Human Rights Foundation,NGOs
Human Rights Watch,NGOs
Humanitäre Hilfe für,NGOs
Humanitarian Accountability Partnership InterNational,NGOs
Humanitarian Action for Relief and Development Organisation,NGOs
Humanitarian Aid Relief Trust,NGOs
Humanitarian Integrity for Women Action on Advocacy for Peace and Human Right,NGOs
Humanitarian Quality Assurance Initiative,NGOs
Humanitarian Relief Foundation,NGOs
HumaniTerra InterNational,NGOs
Humanity Brotherhood Association  for Human Rights,NGOs
Humedia InterNational,NGOs
Humedica,NGOs
Hungarian Interchurch Aid,NGOs
Hunger Alert,NGOs
IAM - InterNational Assistance Mission ,NGOs
ICCO - Interchurch organisation for development co-operation,NGOs
ICDP - InterNational Child Development Programme,NGOs
ICU,NGOs
IDE Myanmar,NGOs
IFTIIN Education and Development Association,NGOs
"IHH-Humanitarian Relief Foundation, Turkey",NGOs
Iimaan Relief and Development Organization,NGOs
Impact Forum Norway,NGOs
INDE - Intercooperaçao e Desenvolvimento (Portuguese NGO),NGOs
Indesch Patenschaften,NGOs
Indivduell Mànniskohjàlp - Swedish NGO,NGOs
InformAction,NGOs
Initiative Congolaise pour la Gestion autonome des populations,NGOs
Initiative Dritte Welt Braunau,NGOs
Initiative for Change,NGOs
INMED Partnership for Children,NGOs
Innovative Development Organization,NGOs
Innovative Humanitarian Solutions,NGOs
Insan Association,NGOs
Institut Européen de Coopération et de Développement,NGOs
"Institute for Development, Research, Advocacy and Applied Care",NGOs
Institute for InterNational Co-operation and Development,NGOs
Institute for War and Peace Reporting,NGOs
Institute of Cultural Affairs Japan,NGOs
"Institute of Human Rights Communication, Nepal ",NGOs
Integrated Rural Development and Nature Conservation,NGOs
Inter Aide,NGOs
Inter Religious Council,NGOs
InterAct,NGOs
InterAction,NGOs
Interaction in Development Foundation,NGOs
Inter-Actions,NGOs
Intercare,NGOs
Interchurch Medical Assistance,NGOs
Interchurch Organisation for Development Co-operation,NGOs
Interkerkelijke Organisatie voor Ontwikkelingssamenwerking,NGOs
INTERMON,NGOs
Intermon Oxfam,NGOs
InterNational Action Network on Small Arms,NGOs
InterNational Aid,NGOs
InterNational Aid Hand,NGOs
InterNational Aid Services,NGOs
InterNational Aid Services Denmark,NGOs
InterNational Alert,NGOs
InterNational Association for Maternal and Neonatal Health ,NGOs
InterNational Campaign to Ban Landmines,NGOs
InterNational Coalition to Ban Uranium Weapons,NGOs
InterNational Commission of Jurists,NGOs
InterNational Commission on Missing Persons,NGOs
InterNational Committee for the Development of Peoples,NGOs
InterNational Council of Voluntary Agencies,NGOs
InterNational Crisis Group,NGOs
InterNational Dalit Solidarity Network,NGOs
InterNational Development Enterprises,NGOs
InterNational Development Law Organisation,NGOs
InterNational Emergency and Development Aid Relief,NGOs
International Eurasia Press Fund,NGOs
InterNational Federation of Human Rights,NGOs
InterNational Health Partners,NGOs
InterNational HIV/AIDS Alliance,NGOs
InterNational Human Rights Law Group,NGOs
InterNational Humanitarian Service,NGOs
InterNational Humanitarian Service ,NGOs
InterNational Institute of Humanitarian Law,NGOs
InterNational Islamic Charity Organization,NGOs
InterNational Islamic Relief,NGOs
InterNational Media Support,NGOs
InterNational Medical Corps UK,NGOs
InterNational Movement ATD Fourth World,NGOs
International NGO Safety Organisation,NGOs
"InterNational Nothilfe e.V., Coswig",NGOs
InterNational Partnership for Human Development,NGOs
International Planned Parenthood Federation,NGOs
InterNational Service for Human Rights,NGOs
InterNational Trust Fund for Demining and Victim Assistance ,NGOs
InterNational Voluntary Agencies,NGOs
International Volunteer Center of Yamagata,NGOs
InterNational Work Group for Indigenous Affairs,NGOs
InterNationaler Verein für Frieden und Gerechtigkeit - Pro Humanitate e.V. Köln,NGOs
Internews Europe,NGOs
Internews Network,NGOs
INTERSOS,NGOs
Intervita,NGOs
Inuit Circumpolar Conference,NGOs
InWent,NGOs
Iraqi Handicapped Society,NGOs
Iraqi Youth League,NGOs
irshad and islah society lebanon,NGOs
Islamic African Relief Agency,NGOs
Islamic Center Society,NGOs
Islamic Charity Association,NGOs
Islamic Help,NGOs
Islamic Relief Pakistan,NGOs
ISRA - Islamic Relief Agency,NGOs
Istanbul InterNational Brotherhood and Assistance Association,NGOs
ISTITUTO OIKOS ONLUS,NGOs
Italian Consortium of Solidarity,NGOs
Jairos Jiri Association,NGOs
Janus e.V,NGOs
Japan Agency for Development and Emergency,NGOs
Japan Asian Association and Asian Friendship Society,NGOs
Japan Association for Refugees,NGOs
Japan Campaign for children of Palestine,NGOs
Japan Center for Conflict Prevention,NGOs
Japan Emergency NGO,NGOs
Japan Emergency NGOs,NGOs
Japan International Volunteer Center,NGOs
Japan Overseas Cooperation Volunteers,NGOs
Japan Rescue Association,NGOs
Japanese NGOs,NGOs
JASMAR Human Security Organization,NGOs
JCS - Joint Christian Services,NGOs
Jesuit Refugee Service,NGOs
John Dau Foundation,NGOs
John Snow InterNational,NGOs
Joint Aid Management International,NGOs
Joint Mine Action Coordination Team,NGOs
Joint Standards Initiative,NGOs
Jordan Health Aid Society,NGOs
Jordanian Charity Association,NGOs
Jordanian Hashemite Charity Organisation,NGOs
JPF - Japan Platform,NGOs
Jubaland Development Organization,NGOs
Jubbalandese Charity Centre,NGOs
JUPEDEC (United Youth for the Protection of the Environment and Community Development),NGOs
Just Associates,NGOs
Just Peace Initiatives,NGOs
KAALO Relief and Development Organisation,NGOs
Kachin Baptist Convention,NGOs
KAFA,NGOs
Kanz Humanitarian organization,NGOs
Katachel e.V,NGOs
Katholische Männerbewegung,NGOs
Kenya Land Alliance,NGOs
Kerkinactie - Netherlands,NGOs
KFUK/KFUM,NGOs
Kher Khegara Tanzeem,NGOs
Khushal Awareness and Development Organization,NGOs
Khwendo Kor,NGOs
Kinder brauchen uns e.V,NGOs
Kinderberg InterNational e.V.,NGOs
Kindernothilfe e.V.,NGOs
Knowledge for Iraqi Women Society ,NGOs
Kohsar Welfare and Educational Society,NGOs
Kolnische Franziskanerprovinz Bosnienhilfe,NGOs
Komitee Arzte,NGOs
Komitee Cap Anamur,NGOs
Kristna Freds,NGOs
Kurdistan Reconstruction and Development Society,NGOs
La Asociación Minga,NGOs
La chaine de l'espoir,NGOs
La ligue démocratique pour les droits de la femme,NGOs
Labena Organization for Women Development Aid Capacity Building,NGOs
Lacha Community and Economic Development,NGOs
LAG - Latin-Amerikagruppene i Norge,NGOs
Lamset Shifa,NGOs
Landmine Action,NGOs
Landmine Survivors Initiatives,NGOs
Landmine Survivors Network,NGOs
LandsAid e.V.,NGOs
Las Dignas,NGOs
Las Qorey Concern,NGOs
Latter Day Saints,NGOs
Lay Volunteers InterNational Association,NGOs
Lazarus-Hilfswerk e.V.,NGOs
Lead Against Marginality and Poverty,NGOs
Lead Development Agency,NGOs
Lebanese Association for Popular Action,NGOs
Lebanese Institute for Democracy and Human Rights,NGOs
Lebanon Support,NGOs
Leprosy Aid Switzerland,NGOs
"Liberia Dujar Association, Sweden",NGOs
Lichtbrücke e.V,NGOs
Ligue de la Zone Afrique pour la Défense des Droits des Enfants et Elèves,NGOs
Local Action Organization,NGOs
Louvain-Developpement,NGOs
LSN - Landmine Survivors Network ,NGOs
Lutheran Development Service,NGOs
Lutheran World Federation,NGOs
Lutheran World Relief,NGOs
Lutheran World Relief (LWR/Canada),NGOs
Lutherian World Fund,NGOs
Lutherischer Weltbund Deutsches Nationalkomitee,NGOs
MADERA,NGOs
Madrasati,NGOs
Magen David Adom,NGOs
Magna Deti v nudzi [Magna Children at Risk],NGOs
Maison Shalom Ruyigi,NGOs
Makassed Philanthropic Islamic Association of Beirut,NGOs
Makhzoumi Foundation,NGOs
Malaria Consortium,NGOs
Malilangwe Trust,NGOs
Malteser InterNational,NGOs
Management Sciences for Health,NGOs
Mani Tese,NGOs
MANNA,NGOs
Manos Unidas,NGOs
MapAction,NGOs
Marie Stopes InterNational,NGOs
Masar,NGOs
Mavambo Orphan Care,NGOs
Medecins d'Afrique,NGOs
Médecins d'Afrique,NGOs
Médecins du Monde Belgium,NGOs
Médecins du Monde Canada,NGOs
Médecins du Monde France,NGOs
Médecins du Monde Greece,NGOs
Médecins du Monde Suisse,NGOs
Médecins sans Frontières - Canada,NGOs
Médecins sans Frontières - France,NGOs
Médecins sans Frontières - Luxembourg,NGOs
Médecins sans Frontières - Norway,NGOs
Media Action Intl.,NGOs
Media Frontiers,NGOs
Medica Mondiale,NGOs
Medical Emergency Relief InterNational Charitable Trust,NGOs
Medical Relief Society,NGOs
Medical Teams InterNational ,NGOs
Medico Intl.,NGOs
Medicos del Mundo,NGOs
Medicos del Mundo Argentina,NGOs
Medicos do Mundo,NGOs
Medicos en catastrofe (MEC),NGOs
Medicos sin Fronteras,NGOs
Medicuba en Salud,NGOs
MediCuba-Suisse,NGOs
Medicus Mundi,NGOs
Mediothek für Afghanistan e.V,NGOs
Meds & Food for Kids,NGOs
Medshare,NGOs
MEMISA - Action médicale missionnaire ,NGOs
Mena Organization for Services Advocacy integration and Capacity Building,NGOs
Menschen für,NGOs
Menschen Gegen Minen,NGOs
Mensen in Nood Caritas,NGOs
Mentor Initiative,NGOs
Mercy Corps ,NGOs
Mercy Hands for Humanitarian Aid,NGOs
Mercy Relief,NGOs
Mercy Ships,NGOs
Merti Integrated Development Programme,NGOs
Mildmay,NGOs
Millennium Promise Japan,NGOs
Millennium Relief and Development,NGOs
Miloserdie (Mercy)  ,NGOs
Mine Action Canada,NGOs
Mine Clearance and Planning Agency,NGOs
Mines Advisory Group,NGOs
Mingalar Myanmar,NGOs
Minority Rights Group InterNational,NGOs
MISOLA,NGOs
Mission East,NGOs
Mission Enfance,NGOs
Mission Ost - DNK,NGOs
Monastery Saint James the Mutilated,NGOs
Monitoring Evaluation And Training Agency,NGOs
Mouvement non violent syrien,NGOs
"Movimiento por la Paz, el Desarme y la Libertad",NGOs
"Movimiento Por La Paz, El Desarme Y La Libertad, (E)",NGOs
MOVIMONDO,NGOs
"MPDL - Movimiento por la Paz, el Desarme y la Libertad",NGOs
MPDL - PRTM,NGOs
Mubarak for Relief and Development Organization,NGOs
Muslim Aid and GlobalMedic,NGOs
Mvuramanzi Trust,NGOs
Mwelekeo Trust,NGOs
Myanmar Business Coalition on AIDS,NGOs
Myanmar Health Assistant Association,NGOs
Myanmar Heart Development Organization,NGOs
Myanmar NGO Contingency Plan Steering Committee,NGOs
Nahda Makers Organization,NGOs
Najat Charitable Society,NGOs
Namibia CARES Movement,NGOs
National Demining Units Organization,NGOs
National Democratic Institute,NGOs
National Federation of UNESCO Association in Japan,NGOs
National Institution of Social Care & Vocational Training,NGOs
National Integrated & DevelopmeDewant Association (NIDA-Pakistan),NGOs
National Integrated Development Agency,NGOs
National Peace Corps Association,NGOs
Nehemia Christenhilfsdienst e.V.,NGOs
Neighbors Initiative Alliance,NGOs
NetHope,NGOs
New Iraqi Woman Organization,NGOs
Next Step Productions,NGOs
NGO Coordination Committee for Iraq,NGOs
NGO Coordination Committee in Iraq,NGOs
NGO FORUM,NGOs
NGO Free Ukraine,NGOs
NGO Fridsro,NGOs
NGO Mondo,NGOs
NGO Ninez y Vida,NGOs
NGO Safety Program,NGOs
NGO Security Programme,NGOs
NGO Ukrainian Cultural Center,NGOs
Nile Hope,NGOs
Nile People's Peace Conference,NGOs
Nippon InterNational Cooperation for Community Development,NGOs
Non Violent Peace Force ,NGOs
Nonviolence InterNational,NGOs
Nonviolent Peaceforce,NGOs
Noon Charity Organization,NGOs
Norsk Luthersk Misjonssamband,NGOs
Norske Menneskerettighetsfond,NGOs
Norske Pinsemenigheters Ytremisjon,NGOs
Norske Redningshunder,NGOs
Northern Aid,NGOs
Northwest Medical Teams InterNational,NGOs
NORWAC - Norwegian Aid Committee,NGOs
Norwegian Afghanistan Committee,NGOs
Norwegian Capacity,NGOs
Norwegian Church Aid,NGOs
Norwegian Mission Association,NGOs
Norwegian Project Office-Rural Rehabilitation Association for Afghanistan,NGOs
Not on our Watch,NGOs
Nova - Centre per la Innovació Social / NOVACT,NGOs
NOVIB,NGOs
"Nuba Mountain Relief, Rehabilitation and Development Organization",NGOs
Nuba Mountains International Association for Development,NGOs
Nuer Peace Council,NGOs
Objectif Tiers Monde,NGOs
OCAPROCE,NGOs
Ockenden InterNational,NGOs
Oeuvre d'Orient,NGOs
Oeuvres hospitalières françaises de l'Ordre de Malte,NGOs
OIKOS - Intercooperação e Desenvolvimento ,NGOs
OJAZ Foundation,NGOs
Olympic Aid,NGOs
One Step Further,NGOs
"Onnuri Church, Rep. of Korea",NGOs
öö Volkshilfe,NGOs
Operation Mercy,NGOs
Operation Save Innocent Lives,NGOs
Opportunities Industrialisation Centres InterNational,NGOs
ORA e. V. Deutsher Hilfsfonds,NGOs
ORA InterNational Lobito,NGOs
Organisation for Mine Clearance and Afghan Rehabilitation / Mine Detection Dog Centre,NGOs
Organisation Marocaine Des Droits de l'homme,NGOs
Organization Catholique Pour la Promotion Humaine,NGOs
Organization for Research and Community Development,NGOs
Organization for Voluntary Humanitarian Assistance Programme,NGOs
OVERSEAS-Onlus,NGOs
