Recipient.Organization,recipientcodename
Association Internationale des Soldats de la Paix,NGOs
Minority Rights Group International,NGOs
Custodia Franciscana en Tierra Santa,NGOs
Docs Heal Africa,NGOs
American Council for Voluntary International Action,NGOs
St. Josephs Care and Support Trust at Sizanani Village,NGOs
Horizonte Logico,NGOs
AsociaciÛn de Trabajadores y TÈcnicos Sin Fronteras,NGOs
International Partnership for Human Development,NGOs
CDA Collaborative Learning Projects. Inc.,NGOs
CARE Somalia,NGOs
Quaker United Nations Office,NGOs
FAFO,NGOs
Norske Menneskerettighetsfond,NGOs
Norske Pinsemenigheters Ytremisjon,NGOs
SOS Children's Villages,NGOs
FORUT,NGOs
Det norske Misjonsforbund,NGOs
HAMOKED/CNTR DEF.OF INDIVIDUAL,NGOs
International Commission of Jurists,NGOs
Human Rights House Foundation,NGOs
Cleared Ground Demining Ltd.,NGOs
Coalition to Stop Use of Child Soldiers,NGOs
Rehabilitation International,NGOs
Palestinakomiteen i Norge,NGOs
NGO FORUM,NGOs
World Vision Hong Kong,NGOs
OXFAM Hong Kong,NGOs
Plan Sweden,NGOs
Enfants des riziËres,NGOs
Stichting CARE Nederland,NGOs
DEMIRA,NGOs
World Vision Uganda,NGOs
CANADEM,NGOs
Association franÁaise pour la prÈvention des catastrophes naturelles,NGOs
War Child,NGOs
The Sisters of Charity,NGOs
Taiwan Grassroots Women Workers' Centre,NGOs
NGO Consortium,NGOs
BlÈs du dÈsert,NGOs
GRET,NGOs
Alnour Wal Amal Association,NGOs
Caritas Australia,NGOs
Aerzte f¸r die Dritte Welt,NGOs
Association Luxembourg PÈrou,NGOs
Berkat,NGOs
DROPS,NGOs
Samusocial Peru,NGOs
Citizens Network for Foreign Affairs,NGOs
Alola Foundation,NGOs
Humanitarian Aid Relief Trust,NGOs
Women for Women International,NGOs
Catholic Commisssion for Justice and Peace,NGOs
CARE and SC/US,NGOs
Humedia International,NGOs
Global Resource Services,NGOs
Hunger Alert,NGOs
Hadia Medical,NGOs
Sovereign Military Order of Malta,NGOs
Centre for International Studies and Cooperation,NGOs
AGEF,NGOs
ASSOCIATION MEDICALE FRANCO-ASIATIQUE,NGOs
Muslim Aid,NGOs
Right to Live Society,NGOs
Objectif Tiers Monde,NGOs
Aide ‡ l''Enfance de l''Inde,NGOs
International Humanitarian Service,NGOs
CODEC,NGOs
MÈdecins du Monde France,NGOs
Jairos Jiri Association,NGOs
Det Norske Menneskerettighetsfond,NGOs
Den norske Helsingforskomite,NGOs
Civic Assistance Committee,NGOs
Malaria Consortium,NGOs
De Norske Pinsemenigheters Ytremisjon,NGOs
CENTER FOR JUSTICE AND INT. LAW,NGOs
Colombia Campaign to Ban Landmines,NGOs
Barneombudet,NGOs
Skeiv Solidaritet,NGOs
Verein Lichtblick,NGOs
Children's Fund of North Ossetia,NGOs
Verein Hilfe fur Bangladesch,NGOs
Global Rights,NGOs
Impact Forum Norway,NGOs
Canadian Journalists Free Expression,NGOs
Community Trust Fund,NGOs
Candle Light,NGOs
ABC Children's Aid,NGOs
Front Line,NGOs
FED. I. D. Ligues/Droits l'homme,NGOs
International Media Support,NGOs
African Commission Human and People's Rights,NGOs
Documentation Center of  Cambodia,NGOs
The Bridge Fund,NGOs
Defense for Children International,NGOs
Just Associates,NGOs
Campagne Suisse Contre les Mines Antipersonnel,NGOs
Transparencia Venezuela,NGOs
World Vision Kenya,NGOs
CARE Kenya,NGOs
Palestinian Agricultural Relief Committees,NGOs
Avocats Sans Frontieres,NGOs
Ba Futuru / For The Future,NGOs
Social Life and Agricultural Development Organisation,NGOs
Avenir pour les orphelins au Burundi,NGOs
Unity and Cooperation for the Development of People,NGOs
Plan Timor-Leste,NGOs
Mercy Malaysia,NGOs
Somali Community Literacy Center,NGOs
Mercy-USA for Aid and Development,NGOs
GlobalMedic,NGOs
Eng Oppen Hand fir Malawi,NGOs
Indesch Patenschaften,NGOs
Gemeinn¸tzige Entwicklungszusammenarbeit GmbH (GEZA),NGOs
FilmAid,NGOs
Development and Peace,NGOs
Plan Canada,NGOs
Charitable Society for Caring and Rehabilitation Iraqi Children,NGOs
TrainAid International,NGOs
NGO Mondo,NGOs
MÈdecins du Monde Suisse,NGOs
MÈdecins du Monde Canada,NGOs
Hilfswerk Liechtenstein,NGOs
MapAction,NGOs
World Vision Sudan,NGOs
Protos,NGOs
Association Humanitaire AKAMASOA,NGOs
Valid Nutrition,NGOs
PACT Myanmar,NGOs
Medical Teams International,NGOs
Association Persis Valais,NGOs
Association IdÈe-elles,NGOs
Afghanistan Demain,NGOs
MÈdecins sans FrontiËres - Luxembourg,NGOs
FONKOZE,NGOs
IDE Myanmar,NGOs
Help the Aged,NGOs
Focus Humanitarian Assistance,NGOs
VETAID,NGOs
Africa Muslims Agency (Johannesburg),NGOs
Somali Education and Health Organisation,NGOs
Home for Human Rights,NGOs
SOLIDAR INGO CONSORTIUM,NGOs
OXFAM International,NGOs
Partner Aid International e.V.,NGOs
Thirst No More,NGOs
AMURT (Ananda Marga Universal Relief Team) (Switzerland),NGOs
Sawaid Health Organization,NGOs
InterAct,NGOs
Medical Relief Society,NGOs
Campana Colombiana Contra Minas,NGOs
Comision de Derechos Humanos,NGOs
Institute for International Co-operation and Development,NGOs
Life for Relief and Development,NGOs
Medicos sin Fronteras,NGOs
ARTICLE 19,NGOs
MÈdecins sans FrontiËres - Norway,NGOs
Rahma Islamic Relief Fund,NGOs
Verdens Barn,NGOs
OXFAM Australia,NGOs
Japanese NGOs,NGOs
International Medical Corps UK,NGOs
Culture and Free Thought Association,NGOs
World Vision Sri Lanka,NGOs
Enfance Tiers Monde asbl,NGOs
Welfare Association,NGOs
Caritas Jerusalem,NGOs
Association for Promoting Social Action,NGOs
OXFAM Quebec,NGOs
Developpement & Paix,NGOs
FOCUS Humanitarian Aid,NGOs
Caucasus Environmental NGO Network,NGOs
Gaza Community Mental Health Programme,NGOs
ShelterBox,NGOs
CMS Ireland,NGOs
War Child Canada,NGOs
Association for Aid and Relief Japan,NGOs
SANAD Charity Foundation,NGOs
Rufaida Health Foundation,NGOs
Confident Children out of Conflict,NGOs
Plan Sudan,NGOs
Japan Emergency NGO,NGOs
Malilangwe Trust,NGOs
SC - Caritas,NGOs
La ligue dÈmocratique pour les droits de la femme,NGOs
Millennium Relief and Development,NGOs
Social Economical Environmental Developers,NGOs
Reseau des Entrepreneurs Solidaires,NGOs
Oxfam Italia,NGOs
Action Contre la PauvretÈ (ACP),NGOs
Africare/Catholic Relief Services,NGOs
Plan Indonesia,NGOs
Emergency Architects,NGOs
Food for the Hungry,NGOs
Wajir South Development Association,NGOs
VISION,NGOs
Sarhad Rural Support Programme,NGOs
International HIV/AIDS Alliance,NGOs
HOPEí87 ñ Hundreds of Original Projects for Employment,NGOs
Verein B‰r und Leu,NGOs
Plan UK,NGOs
Build Change,NGOs
SOS Futures Maman,NGOs
RCN Justice Democratie,NGOs
Islamic Charity Association,NGOs
Charitable Development Association,NGOs
Jordanian Charity Association,NGOs
Asociacion de Trabajadores y Tecnicos Sin Fronteras,NGOs
Human Concern International,NGOs
International Islamic Charitable Organization,NGOs
Muslim Aid and GlobalMedic,NGOs
American Charities for Palestine,NGOs
LAG - Latin-Amerikagruppene i Norge,NGOs
Swedish and Norwegian Ecumenical Accompaniment Programme in Palestine and Israel,NGOs
Fundacion para la Libertad de Prensa,NGOs
World Vision Pakistan,NGOs
Human Rights Foundation,NGOs
Protracted Relief Programme Partners (Zimbabwe),NGOs
Japan Agency for Development and Emergency,NGOs
Japan Center for Conflict Prevention,NGOs
PARCIC,NGOs
Afghanistan Landmine Survivors' Organisation,NGOs
Sewalanka,NGOs
Swiss Campaign to Ban Landmines,NGOs
Survivor Corps,NGOs
Centre de Recherche SantÈ,NGOs
World Education,NGOs
Scandinavian Children's Mission,NGOs
British Council,NGOs
Myanmar Business Coalition on AIDS,NGOs
International Federation of Human Rights,NGOs
Action SolidaritÈ Tiers Monde,NGOs
iMMAP,NGOs
MÈdecins du Monde Greece,NGOs
Kohsar Welfare and Educational Society,NGOs
Initiative for Change,NGOs
Community Health and AIDS Mitigation Project,NGOs
SantÈ pour le DÈveloppement et la StabilitÈ díHaÔti,NGOs
MÈdecins du Monde Belgium,NGOs
Rescue South Africa,NGOs
Organisation Marocaine Des Droits de l'homme,NGOs
CARE International Switzerland in Sudan,NGOs
ACF - Canada,NGOs
Burundikids e.V.,NGOs
Access Aid and Development,NGOs
Las Qorey Concern,NGOs
ACF - USA,NGOs
GlobalGiving,NGOs
Afghanaid,NGOs
The Haven Community Foundation,NGOs
Fondation Orient Occident,NGOs
Namibia CARES Movement,NGOs
Polish Humanitarian Organisation,NGOs
Caritas Lebanon Migrants Center,NGOs
Heartland Alliance International,NGOs
Questscope,NGOs
Restart Center for Rehabilitation of Victims of Violence and Torture,NGOs
Un Ponte Per,NGOs
Qatar Charity,NGOs
ZIF - Center for International Peace Operations,NGOs
Association Develop Horn,NGOs
Wabi Shelbelle Development,NGOs
Sudan Social Development Organization,NGOs
Cooperazione Internazionale Sud Sud,NGOs
Solidar,NGOs
ACT Alliance / Life With Dignity,NGOs
action medeor e.V.,NGOs
Health And Nutrition Development Society,NGOs
Islamic Relief Pakistan,NGOs
ChildFund International,NGOs
Mercy Corps Scotland,NGOs
Alliance for International Medical Action,NGOs
Sports and Cooperation Network,NGOs
Les Sarments de Lavaux,NGOs
Medicos del Mundo Argentina,NGOs
Myanmar NGO Contingency Plan Steering Committee,NGOs
ACT Alliance,NGOs
World Vision El Salvador,NGOs
STC-NOR,NGOs
Solidarity Group of Jubbaland,NGOs
Caritas Switzerland,NGOs
Kreuz des S¸dens,NGOs
Landmine Survivors Initiatives,NGOs
Association for Empowerment of Persons with Disabilities,NGOs
Mingalar Myanmar,NGOs
Saferworld,NGOs
Eid Charity,NGOs
International NGO Safety Organisation,NGOs
Arab Fund for Human Rights,NGOs
Coalition for the International Criminal Court,NGOs
Aragti Relief and Development Organization,NGOs
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),NGOs
Media Frontiers,NGOs
Sudan Integrated Mine Action Service,NGOs
KAFA Enough Violence and Exploitation,NGOs
World Organisation Against Torture,NGOs
International Coalition to Ban Uranium Weapons,NGOs
Health Poverty Action,NGOs
Pakistan Humanitarian Forum (consortium),NGOs
Institute for War and Peace Reporting,NGOs
Baptist Aotearoa NZ Aid,NGOs
Insan Association,NGOs
Secours Islamique France,NGOs
Haut ComitÈ de Secours libanais,NGOs
Union des Organisations Syrienne de Secours MÈdicaux,NGOs
Electriciens sans frontiËres,NGOs
Soul of Haiti,NGOs
Mission Enfance,NGOs
Direct Aid,NGOs
Gruppo per le Relazioni Transculturali,NGOs
China Foundation for Poverty Alleviation,NGOs
World Wildlife Fund,NGOs
Neighbors Initiative Alliance,NGOs
Action pour un Monde Uni,NGOs
CARE Luxembourg,NGOs
SWISSAID,NGOs
Community and Family Services International,NGOs
Cambodian Mine Action Centre,NGOs
ACT Alliance / Lutheran Development Service,NGOs
Plan Niger,NGOs
Afrique Verte Niger,NGOs
Handicap International USA,NGOs
Aga Khan Foundation Tajikistan,NGOs
World University Service - Canada,NGOs
Plan USA,NGOs
Agronomes et VÈtÈrinaires Sans FrontiËres,NGOs
Agency for Cooperation and Research in Development,NGOs
Associazione Amici dellíOasis Togo,NGOs
African Development Solutions,NGOs
Coof Havanna,NGOs
GynÈcologie sans frontiËres,NGOs
Planete Urgence,NGOs
Christian Solidarity International,NGOs
Handicap International Luxembourg,NGOs
SolidaritÈ FÈminine pour la Paix et le DÈveloppement IntÈgral,NGOs
Mission am Nill,NGOs
Heal Africa,NGOs
Ad Council,NGOs
Support for Peace and Education Development Program,NGOs
Peace Action Society Organisation for Somalia,NGOs
Global One 2015,NGOs
Jordan Health Aid Society,NGOs
Norwegian Afghanistan Committee,NGOs
Charities Aid Foundation,NGOs
Arab Network for Tolerance,NGOs
Somali Humanitarian Aid and Development Organization,NGOs
Wamo Relief and Rehabilitation Services,NGOs
Sudan Medical Care,NGOs
Zamzam Foundation,NGOs
"Association pour la SolidaritÈ, le DÈveloppement et l'IntÈgration Sociale",NGOs
"IHH-Humanitarian Relief Foundation, Turkey",NGOs
Radanar Ayar Association,NGOs
Forum for African Women Educationalist Gambia Chapter,NGOs
Caritas New Zealand,NGOs
ACT Alliance / Act for Peace,NGOs
Action on Armed Violence,NGOs
CRC - NGO Group for the Convention on the Rights of the Child,NGOs
"Citizens' Disaster Response Center, Inc",NGOs
Physicians Across Continents,NGOs
Afghanistankomiteen i Norge,NGOs
Diakonie Katastrophenhilfe,NGOs
RedR UK,NGOs
Caritas Czech Republic,NGOs
OXFAM,NGOs
Afrique Verte Mali,NGOs
Canadian Catholic Organization for Development and Peace (Caritas Canada),NGOs
DIAKONISCHES WERK DER EKD,NGOs
Sante Sud,NGOs
SantÈ Mali RhÙne Alpes,NGOs
LandsAid e.V.,NGOs
Nile Hope,NGOs
Association of International Development Agencies,NGOs
Conflict Dynamics International,NGOs
Universal Network for Knowledge and Empowerment Agency,NGOs
World Vision South Sudan,NGOs
Christian Mission for Development,NGOs
Christian Recovery and Development Agency,NGOs
Afghan NGO Security Office,NGOs
Mine Detection Centre,NGOs
ASCHIANA,NGOs
HelpAge International UK,NGOs
Universal Intervention and Development Organization,NGOs
Demining Agency for Afghanistan,NGOs
Clear Path International,NGOs
Terre des Hommes - Lausanne,NGOs
SFCG/RDC,NGOs
Medicos do Mundo,NGOs
Joint Standards Initiative,NGOs
Global Communities,NGOs
Pour une Syrie libre,NGOs
MISOLA,NGOs
Groupe de Recherche et de RÈalisations pour le DÈveloppement Rural,NGOs
Family Planning Organization of the Philippines,NGOs
Fundacion Promocion Social de la Cultura,NGOs
Czech Evang. Diacony,NGOs
COPE - The Cooperative Orthotic and Prosthetic Enterprise,NGOs
Plan Mali,NGOs
Action de DÈvelopement Durable en Afrique,NGOs
The Health Support Organization,NGOs
Alaska Sudan Medical Project,NGOs
Terre des Hommes - Germany,NGOs
Center for International Studies and Cooperation,NGOs
Magna Deti v nudzi [Magna Children at Risk],NGOs
Delvon Assistance for Social Harmony (DASH),NGOs
Women And Health Alliance,NGOs
Institute of Cultural Affairs Japan,NGOs
CWS Japan,NGOs
Rural Agency for Community Development and Assistance,NGOs
Good Neighbours Inc,NGOs
Volunteer Organization for the International Co-operation la Nostra Famiglia,NGOs
Oeuvre d'Orient,NGOs
NGO Safety Program,NGOs
Danmission,NGOs
Development and Regeneration Association,NGOs
NGO Security Programme,NGOs
SociÈtÈ Kolping,NGOs
SantÈ DiabËte,NGOs
Badil Resource Center for Palestinian Residency and Refugee Rights,NGOs
Center for the Defence of the Individual,NGOs
Non Violent Peace Force,NGOs
Nonviolent Peaceforce,NGOs
Aweil Window of Opportunities and Development Agency,NGOs
Caritas Chad,NGOs
ETANA Press,NGOs
Volontariato Internazionale per lo Sviluppo,NGOs
Japan Association for Refugees,NGOs
"Social, Humanitarian, Economical Intervention for Local Developmen",NGOs
Provea - Venezolano de EducaciÛn-AcciÛn en Derechos Humanos,NGOs
Aadamiga USA,NGOs
Arab Reporters for Investigative Journalism,NGOs
International Planned Parenthood Federation,NGOs
Partnership Center for Development and Democracy,NGOs
Maarouf Saad Social and Cultural Foundation,NGOs
National Institution of Social Care & Vocational Training,NGOs
Lebanon Support,NGOs
International Volunteer Center of Yamagata,NGOs
Shanti Volunteer Association,NGOs
Japan Asian Association and Asian Friendship Society,NGOs
Cooperative for Assistance and Relief Everywhere,NGOs
Collectif du developpement et du secours syrien,NGOs
Direct Focus Community Aid,NGOs
Aertze der Welt e.V.,NGOs
World Vision Philippines,NGOs
Care Czech Republic,NGOs
World Vision Ireland,NGOs
ACT Alliance / World Renew,NGOs
ACT Alliance / Canadian Lutheran World Relief,NGOs
Solo Enviro Beautification,NGOs
Institut EuropÈen de CoopÈration et de DÈveloppement,NGOs
Syria Sanad,NGOs
Mouvement non violent syrien,NGOs
Tides Center,NGOs
Coordination Of Rehabilitation Services For Afghanistan,NGOs
Operation Mercy,NGOs
